ID,site,startTime,3,capacity,vaccineType
5065,219,2021-06-05T21:30:00+00:00,10,50,219
5067,220,2021-06-05T22:30:00+00:00,10,50,220
5069,221,2021-06-05T23:30:00+00:00,10,50,221
5798,298,2021-06-05T00:30:00+00:00,10,50,298
5799,299,2021-06-05T01:30:00+00:00,10,50,299
5800,300,2021-06-05T02:30:00+00:00,10,50,300
5801,251,2021-06-05T03:30:00+00:00,10,50,251
5802,252,2021-06-05T04:30:00+00:00,10,50,252
5803,253,2021-06-05T05:30:00+00:00,10,50,253
5804,254,2021-06-05T06:30:00+00:00,10,50,254
5805,255,2021-06-05T07:30:00+00:00,10,50,255
5806,256,2021-06-05T08:30:00+00:00,10,50,256
5807,257,2021-06-05T09:30:00+00:00,10,50,257
5808,258,2021-06-05T10:30:00+00:00,10,50,258
5809,259,2021-06-05T11:30:00+00:00,10,50,259
5810,260,2021-06-05T12:30:00+00:00,10,50,260
5811,261,2021-06-05T13:30:00+00:00,10,50,261
5812,262,2021-06-05T14:30:00+00:00,10,50,262
5813,263,2021-06-05T15:30:00+00:00,10,50,263
5814,264,2021-06-05T16:30:00+00:00,10,50,264
5815,265,2021-06-05T17:30:00+00:00,10,50,265
5816,266,2021-06-05T18:30:00+00:00,10,50,266
5817,267,2021-06-05T19:30:00+00:00,10,50,267
5818,268,2021-06-05T20:30:00+00:00,10,50,268
5819,269,2021-06-05T21:30:00+00:00,10,50,269
5820,270,2021-06-05T22:30:00+00:00,10,50,270
5821,271,2021-06-05T23:30:00+00:00,10,50,271
6798,348,2021-06-05T00:30:00+00:00,10,50,348
6799,349,2021-06-05T01:30:00+00:00,10,50,349
6800,350,2021-06-05T02:30:00+00:00,10,50,350
6801,301,2021-06-05T03:30:00+00:00,10,50,301
6802,302,2021-06-05T04:30:00+00:00,10,50,302
6803,303,2021-06-05T05:30:00+00:00,10,50,303
6804,304,2021-06-05T06:30:00+00:00,10,50,304
6805,305,2021-06-05T07:30:00+00:00,10,50,305
6806,306,2021-06-05T08:30:00+00:00,10,50,306
6807,307,2021-06-05T09:30:00+00:00,10,50,307
6808,308,2021-06-05T10:30:00+00:00,10,50,308
6809,309,2021-06-05T11:30:00+00:00,10,50,309
6810,310,2021-06-05T12:30:00+00:00,10,50,310
6811,311,2021-06-05T13:30:00+00:00,10,50,311
6812,312,2021-06-05T14:30:00+00:00,10,50,312
6813,313,2021-06-05T15:30:00+00:00,10,50,313
6814,314,2021-06-05T16:30:00+00:00,10,50,314
6815,315,2021-06-05T17:30:00+00:00,10,50,315
6816,316,2021-06-05T18:30:00+00:00,10,50,316
6817,317,2021-06-05T19:30:00+00:00,10,50,317
6818,318,2021-06-05T20:30:00+00:00,10,50,318
6819,319,2021-06-05T21:30:00+00:00,10,50,319
6820,320,2021-06-05T22:30:00+00:00,10,50,320
6821,321,2021-06-05T23:30:00+00:00,10,50,321
7798,398,2021-06-05T00:30:00+00:00,10,50,398
7799,399,2021-06-05T01:30:00+00:00,10,50,399
7800,400,2021-06-05T02:30:00+00:00,10,50,400
7801,351,2021-06-05T03:30:00+00:00,10,50,351
7802,352,2021-06-05T04:30:00+00:00,10,50,352
7803,353,2021-06-05T05:30:00+00:00,10,50,353
7804,354,2021-06-05T06:30:00+00:00,10,50,354
7805,355,2021-06-05T07:30:00+00:00,10,50,355
7806,356,2021-06-05T08:30:00+00:00,10,50,356
7807,357,2021-06-05T09:30:00+00:00,10,50,357
7808,358,2021-06-05T10:30:00+00:00,10,50,358
7809,359,2021-06-05T11:30:00+00:00,10,50,359
7810,360,2021-06-05T12:30:00+00:00,10,50,360
7811,361,2021-06-05T13:30:00+00:00,10,50,361
7812,362,2021-06-05T14:30:00+00:00,10,50,362
7813,363,2021-06-05T15:30:00+00:00,10,50,363
7814,364,2021-06-05T16:30:00+00:00,10,50,364
7815,365,2021-06-05T17:30:00+00:00,10,50,365
7816,366,2021-06-05T18:30:00+00:00,10,50,366
7817,367,2021-06-05T19:30:00+00:00,10,50,367
7818,368,2021-06-05T20:30:00+00:00,10,50,368
7819,369,2021-06-05T21:30:00+00:00,10,50,369
7820,370,2021-06-05T22:30:00+00:00,10,50,370
7821,371,2021-06-05T23:30:00+00:00,10,50,371
